Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-ca_1238130_1242100,who basically said if you're not using them could you return them .,who basically said if you're not using them Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh could you return them .,s^e:qy,s^e:qy
Bmr025-ca_1242440_1248730,so he said he doesn't need them he just periodically w- - at the end of each term sends out email to everyone who was recorded as having them .,so he said he doesn't need them he just periodically w- - at the end of each term sends out email to everyone who was recorded as having them .,s,s
Bmr025-ca_1249170_1251100,and asks them if they're still using them .,and asks them if they're still using them .,s,s
Bmr025-c1_1251090_1252500,so we've never used them .,so we've never used them .,s^bu,s^bu
Bmr025-c0_1252580_1253290,we used them once .,we used them once .,s^nd,s^nd
Bmr025-ca_1253420_1254720,we - we used them a couple times .,we - we used them a couple times .,s^nd,s^nd
Bmr025-c1_1253460_1253800,once ?,once ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-c0_1254000_1254290,uhhuh .,mm-hmm .,s^aa,s^aa
Bmr025-c5_1254460_1254820,them ?,them ?,qy^bu^d^rt,qy^bu^d^rt
Bmr025-ca_1254720_1254990,but ==,but ==,fh,fh
Bmr025-c0_1254780_1255260,couple times .,couple times .,s^aa^m,s^aa^m
Bmr025-c5_1254820_1255480,there's more than one ?,there's more than one ?,qy^bu^d^e^rt,qy^bu^d^e^rt
Bmr025-ca_1255880_1256530,yeah | we have two .,yeah | we have two .,s^aa|s^na,s^aa|s^na
Bmr025-c0_1256040_1256200,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_1256090_1256450,i- ==,i- ==,%-,%-
Bmr025-ca_1257420_1257840,um ==,um ==,fg,fg
Bmr025-c1_1258600_1258860,but ==,but ==,fg,fg
Bmr025-ca_1259120_1260770,my opinion on it is ==,my opinion on it is ==,s.%--,s.%--
Bmr025-ca_1260770_1262230,first i never take notes anyway .,first i never take notes anyway .,s,s
Bmr025-ca_1262540_1263810,so i'm not going to use it .,so i'm not gonna use it .,s,s
Bmr025-ca_1264760_1268290,um | and second it's another level of infrastructure that we have to deal with .,um | and second it's another level of infrastructure that we have to deal with .,fh|s,fh|s
Bmr025-c0_1269230_1274610,and i have - uh so my - my feeling on it is that i think in principle it's a really nice idea .,and i have - uh so my - my feeling on it is that i think in principle it's a really nice idea .,s^ba,s^ba
Bmr025-c0_1274610_1279170,and you have the time tags which makes it better tha- - than just taking ra- - raw notes .,and you have the time tags which makes it better tha- - than just taking ra- - raw notes .,s^ba,s^ba
Bmr025-c0_1279250_1284200,on the other hand i - the down side for me was that i think the pen is really noisy .,on the other hand i - the down side for me was that i think the pen is really noisy .,s,s
Bmr025-c0_1284200_1285960,so you have ka- - kaplunk kaplunk kaplunk .,so you have ka- - kaplunk kaplunk kaplunk .,s:s,s:s
Bmr025-c0_1286100_1287940,and i - and i don't know if it's audible on the ==,and i - and i don't know if it's audible on the ==,s.%--,s.%--
Bmr025-c0_1288260_1290190,but i - i sort of thought that was a disadvantage .,but i - i sort of thought that was a disadvantage .,s,s
Bmr025-c0_1290330_1291120,i do take notes .,i do take notes .,s,s
Bmr025-c0_1291120_1292990,i mean i could be taking notes on these things .,i mean i could be taking notes on these things .,s^cs,s^cs
Bmr025-c0_1292990_1296570,and i guess the plus with the crosspads would be the time markings .,and i guess the plus with the crosspads would be the time markings .,s,s
Bmr025-c0_1296570_1296720,but ==,but ==,fh,fh
Bmr025-c0_1297270_1297640,i don't know .,i don't know .,s^no,s^no
Bmr025-c3_1298180_1299350,uh | what is a crosspad ?,uh | what is a crosspad ?,fg|qw^rt,fg|qw^rt
Bmr025-c1_1300270_1308060,so it's - it's um - it's a regular pad just a regular pad of paper but there's this pen which indicates position .,so it's - it's um - it's a regular pad just a regular pad of paper but there's this pen which indicates position .,s,s
Bmr025-c2_1302600_1302940,thank you .,thank you .,s^ft^t3,s^ft^t3
Bmr025-c1_1308750_1312100,and so you have time and position stuff stored .,and so you have time and position stuff stored .,s,s
Bmr025-c3_1308830_1309180,okay .,o_k .,s^bk,s^bk
Bmr025-c1_1312100_1315120,so that you can - you have a record of whatever it is you've written .,so that you can - you have a record of whatever it is you've written .,s,s
Bmr025-c3_1315410_1315660,okay .,o_k .,s^bk,s^bk
Bmr025-ca_1316240_1317260,and then you can download it .,and then you can download it .,s,s
Bmr025-ca_1317260_1320550,and they have o c r and searching and all sorts of things .,and they have o_c_r and searching and all sorts of things .,s,s
Bmr025-c3_1319240_1319520,okay .,o_k .,s^bk,s^bk
Bmr025-c3_1320140_1320320,okay .,o_k .,b,b
Bmr025-ca_1321430_1323940,so i- - if you take notes it's a great little device .,so i- - if you take notes it's a great little device .,s,s
Bmr025-c0_1321930_1322540,could - uhhuh ==,could - mm-hmm ==,%-,%-
Bmr025-ca_1324910_1326180,but i don't take notes .,but i don't take notes .,s,s
Bmr025-c1_1326250_1332410,and one of the reasons that it was brought up originally was because uh we were interested in - in higher level things .,and one of the reasons that it was brought up originally was because uh we were interested in - in higher-level things .,s,s
Bmr025-ca_1326500_1326780,so ==,so ==,fh,fh
Bmr025-c1_1332410_1336750,not just the you know microphone stuff but also summarization and so forth .,not just the you know microphone stuff but also summarization and so forth .,s,s
Bmr025-c1_1336750_1343930,and the question is if you were going to go to some gold standard of what wa- - what was it that happened in the meeting - you know where would it come from .,and the question is if you were going to go to some gold standard of what wa- - what was it that happened in the meeting - you know where would it come from .,s:qw,s:qw
Bmr025-c1_1344110_1347830,and um | i think that was one of the things .,and um | i think that was one of the things .,fh|s,fh|s
Bmr025-c3_1344360_1344550,yeah .,yeah .,b,b
Bmr025-ca_1346700_1346910,yep .,yep .,s^aa,s^aa
Bmr025-c9_1347040_1347410,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_1347830_1348160,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c1_1348160_1350010,and so the - it seemed like a neat idea .,and so the - it seemed like a neat idea .,s^ba,s^ba
Bmr025-c1_1350010_1351440,we'll have a - you know have a scribe .,we'll have a - you know have a scribe .,s^rt,s^rt
Bmr025-c1_1351940_1355690,have somebody uh take good notes and then that's part of the record of the meeting .,have somebody uh take good notes and then that's part of the record of the meeting .,s,s
Bmr025-c1_1356150_1358320,and then we did it once or twice and we sort of ==,and then we did it once or twice and we sort of ==,s.%--,s.%--
Bmr025-ca_1357400_1359110,yep | and then just sort of died out .,yep | and then just sort of died out .,s^aa|s,s^aa|s
Bmr025-c1_1358840_1360030,probably chose the wrong scribe .,probably chose the wrong scribe .,s^j,s^j
Bmr025-c1_1360030_1361630,but it was - it's uh ==,but it was - it's uh ==,s.%--,s.%--
Bmr025-ca_1360400_1361170,yeah that's right .,yeah that's right .,s^aa,s^aa
Bmr025-c9_1360480_1360840,i mean ==,i mean ==,%-,%-
Bmr025-c0_1361470_1362310,well i did it one time .,well i did it one time .,s,s
Bmr025-c0_1362310_1363160,but um ==,but um ==,fh,fh
Bmr025-ca_1362310_1362570,yep .,yep .,b,b
Bmr025-c1_1362640_1362900,yeah .,yeah .,b,b
Bmr025-c0_1363600_1371250,u- - but i guess the - the other thing i'm thinking is if we wanted that kind of thing i wonder if we'd lose that much by having someone be a scribe .,u- - but i guess the - the other thing i'm thinking is if we wanted that kind of thing i wonder if we'd lose that much by having someone be a scribe .,s^cs,s^cs
Bmr025-c0_1371250_1373720,by listening to the tape - to the recording afterwards .,by listening to the tape - to the recording afterwards .,s^cs^e,s^cs^e
Bmr025-c0_1374000_1376730,and taking notes in some other interface .,and taking notes in some other interface .,s^e,s^e
Bmr025-c5_1376700_1378190,i mean we're transcribing it anyways .,i mean we're transcribing it anyways .,s,s
Bmr025-c5_1378190_1378980,why do we need notes ?,why do we need notes ?,qw^rt,qw^rt
Bmr025-c0_1379320_1380390,oh it's la- - it's useful .,oh it's la- - it's useful .,s^nd,s^nd
Bmr025-ca_1379480_1380280,because that's summary .,because that's summary .,s^ng,s^ng
Bmr025-c0_1380390_1382180,have a summary and high points .,have a summary and high points .,s^ng,s^ng
Bmr025-c9_1380420_1380870,i think ==,i think ==,%-,%-
Bmr025-c1_1380730_1381330,summary .,summary .,s^m,s^m
Bmr025-c9_1381300_1381870,there's also ==,there's also ==,%-,%-
Bmr025-c9_1382500_1383370,there's this use that ==,there's this use that ==,s.%-,s.%-
Bmr025-c5_1383990_1385200,summarize it from the transcription .,summarize it from the transcription .,s^cs,s^cs
Bmr025-c9_1384140_1384280,the ==,the ==,%-,%-
Bmr025-c9_1385310_1387600,well what if you're sitting there and you just want to make an x ?,well what if you're sitting there and you just wanna make an x_ ?,qo,qo
Bmr025-c9_1387600_1388690,and you don't want to take notes .,and you don't wanna take notes .,s,s
Bmr025-c9_1388690_1389720,and you're - you just want to ==,and you're - you just wanna ==,s.%--,s.%--
Bmr025-c5_1389960_1390180,doodle .,doodle .,s^2^rt,s^2^rt
Bmr025-c9_1390110_1393100,get the summary of the transcript from this time location .,get the summary of the transcript from this time location .,s,s
Bmr025-c9_1393100_1396040,like - you know and - and then while you're bored you don't do anything .,like - you know and - and then while you're bored you don't do anything .,s,s
Bmr025-c9_1396040_1398240,and once in a while maybe there's a joke and you put a x .,and once in a while maybe there's a joke Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh and you put a x_ .,s,s
Bmr025-c9_1398940_1399190,but ==,<and> but ==,fh,fh
Bmr025-c9_1399350_1404100,in - in other words you can use that just to highlight times in a very simple way .,in - in other words you can use that just to highlight times in a very simple way .,s^bs^cs,s^bs^cs
Bmr025-c9_1404100_1407680,also with - i was thinking - and i know morgan disagrees with me on this .,also with - i was thinking - and i know morgan disagrees with me on this .,s,s
Bmr025-c9_1407680_1415900,but - suppose you have a group in here and you want to let them note whenever they think there might be something later that they might not want to distribute in terms of content .,but - suppose you have a group in here and you wanna let them note whenever they think there might be something later that they might not wanna distribute in terms of content .,s^rt,s^rt
Bmr025-c9_1416650_1419510,they could just sort of make an x near that point .,they could just sort of make an x_ near that point .,s^cs,s^cs
Bmr025-c9_1419510_1426490,or a question mark that sort of alerts them that when they get the transcript back they c- - could get some red flags in that transcript region .,or a question mark that sort of alerts them that when they get the transcript back they c- - could get some red flags in that transcript region .,s^e,s^e
Bmr025-c9_1426490_1427690,and they can then look at it .,and they can then look at it .,s^e,s^e
Bmr025-c9_1427690_1427990,so ==,so ==,fh,fh
Bmr025-c9_1428350_1429590,i know we haven't been using it .,i know we haven't been using it .,s,s
Bmr025-c9_1429620_1435290,but i w- - i can imagine it being useful just for sort of marking time periods .,but i w- - i can imagine it being useful just for sort of marking time periods .,s^cs,s^cs
Bmr025-ca_1434400_1434590,right .,right .,s^aa,s^aa
Bmr025-c9_1435290_1437440,which you then get back in a transcript .,which you then get back in a transcript .,s^e,s^e
Bmr025-c0_1436880_1437030,well .,well .,b,b
Bmr025-c1_1437120_1444950,i guess - so w- - you know what - what makes one think i- - is maybe we should actually schedule some periods where people go over something later .,i guess - so {w-} - you know what - what makes one think i- - is maybe we should actually schedule some periods where people go over something later .,s^cs,s^cs
Bmr025-c9_1437440_1437740,so ==,so ==,fh,fh
Bmr025-c1_1444950_1448610,and - and - and put some kind of summary or something .,and - and - and put some kind of summary or something .,s,s
Bmr025-c1_1448830_1454740,uh | you know some - there'd be some scribe who would actually listen w- - who'd agreed to actually listen to the whole thing .,uh | you know some - there'd be some scribe who would actually listen w- - who'd agreed to actually listen to the whole thing .,fh|s^cs,fh|s^cs
Bmr025-c1_1455060_1458630,not transcribe it but just sort of write down things that struck them as important .,not transcribe it but just sort of write down things that struck them as important .,s,s
Bmr025-c1_1459110_1465750,but then you don't - you don't have the time reference - uh that you'd have if you had it live .,but then you don't - you don't have the time reference - uh that you'd have if you had it live .,s,s
Bmr025-c9_1462770_1463150,right .,right .,s^aa,s^aa
Bmr025-c9_1465900_1469520,and you don't have a lot of other cues that might be useful .,and you don't have a lot of other cues that might be useful .,s,s
Bmr025-c1_1467840_1468200,yeah .,yeah .,s^am,s^am
Bmr025-c5_1468590_1471540,how do you synchronize the time in the crosspad and the time of the recording ?,how do you synchronize the time in the crosspad and the time of the recording ?,qw,qw
Bmr025-c9_1469880_1470060,so ==,so ==,fh,fh
Bmr025-ca_1470880_1473170,i mean that was one of the issues we talked about originally .,i mean that was one of the issues we talked about originally .,s,s
Bmr025-ca_1473170_1477850,and that- - that's w- - part of the difficulty is that we need an infrastructure for using the time - the crosspads .,and that- - that's w- - part of the difficulty is that we need an infrastructure for using the time - the crosspads .,s,s
Bmr025-ca_1477850_1479610,and so that means synchronizing the time ==,and so that means synchronizing the time ==,s.%--,s.%--
Bmr025-c9_1478990_1479460,oh .,{oh} .,b,b
Bmr025-ca_1480920_1482400,you know you want it pretty close .,you know you want it pretty close .,s,s
Bmr025-c0_1480950_1481210,uhhuh .,mm-hmm .,b,b
Bmr025-ca_1482660_1485870,and there's a fair amount of skew because it's a hand held unit with a battery .,and there's a fair amount of skew because it's a hand-held unit with a battery .,s,s
Bmr025-c0_1486170_1486980,well | when - when i d- ==,well | when - when i d- ==,fg|s.%-,fg|s.%-
Bmr025-ca_1486540_1486930,and so you ==,and so you ==,%-,%-
Bmr025-c0_1487480_1487710,okay .,o_k .,b,b
Bmr025-ca_1487890_1492280,so you have to synchronize at the beginning of each meeting all the pads that are being used .,so you have to synchronize at the beginning of each meeting all the pads that are being used .,s^co,s^co
Bmr025-ca_1493080_1494890,so that it's synchronized with the time on that .,so that it's synchronized with the time on that .,s^df,s^df
Bmr025-ca_1494890_1497990,and then you have to download to an application .,and then you have to download to an application .,s^e,s^e
Bmr025-ca_1497990_1503820,and then you have to figure out what the data formats are and convert it over if you want to do anything with this information .,and then you have to figure out what the data formats are and convert it over if you wanna do anything with this information .,s^e,s^e
Bmr025-ca_1504640_1506550,and so there's a lot of infrastructure which ==,and so there's a lot of infrastructure which ==,s.%-,s.%-
Bmr025-c0_1504840_1505620,w- - uhhuh .,w- - mm-hmm .,b,b
Bmr025-c4_1505110_1505250,why ?==,why ?==,qw.%-,qw.%-
Bmr025-c0_1506860_1507830,there is an alternative .,there is an alternative .,s^cs^nd,s^cs^nd
Bmr025-ca_1507150_1507840,unless someone ==,unless someone ==,%-,%-
Bmr025-c0_1508300_1509180,there is an alternative .,there is an alternative .,s^r,s^r
Bmr025-c0_1509180_1513250,i mean it's still there's uh - you know your point stands about there be - needing to be an infrastructure .,i mean it's still there's uh - you know your point stands about there be - needing to be an infrastructure .,s^na,s^na
Bmr025-c0_1513250_1516650,but it doesn't have to be synchronized with the little clock's timer on it .,but it doesn't have to be synchronized with the little clock's timer on it .,s,s
Bmr025-c0_1516650_1520100,you c- - i mean i - when i - when i did it i synchronized it by voice .,you c- - i mean i - when i - when i did it i synchronized it by voice .,s,s
Bmr025-c0_1520100_1522410,by whispering one two three four onto the microphone .,by whispering one two three four onto the microphone .,s^e,s^e
Bmr025-ca_1521510_1521760,huh ==,hmm ==,b,b
Bmr025-c0_1522770_1523940,and uh | you know .,and uh | you know .,fh|s^f,fh|s^f
Bmr025-ca_1524640_1526500,well but then there's the infrastructure at the other end .,well but then there's the infrastructure at the other end .,s,s
Bmr025-c4_1525220_1525380,right .,right .,b,b
Bmr025-ca_1526500_1528810,which someone has to listen to that and find that point .,which someone has to listen to that and find that point .,s^e,s^e
Bmr025-c0_1528940_1529620,yeah it's transcribed .,yeah it's transcribed .,s^na,s^na
Bmr025-ca_1529260_1529970,and then mark it .,and then mark it .,s^e,s^e
Bmr025-c0_1529620_1530400,it's in the transcript .,it's in the transcript .,s,s
Bmr025-ca_1530560_1530900,so ==,so ==,fh,fh
Bmr025-c0_1530760_1530930,yeah .,yeah .,b,b
Bmr025-c0_1532040_1532830,well it's in the transcript .,well it's in the transcript .,s^r,s^r
Bmr025-c9_1532230_1535250,well could we keep one of these things for another year ?,<uh> well could we keep one of these things for another year ?,qy^rt,qy^rt
Bmr025-c9_1535250_1536800,would h- - i mean is there a big cau- ==,would h- - i mean is there a big cau- ==,s^df.%-,s^df.%-
Bmr025-ca_1536240_1537970,we can keep all - both of them for the whole whole year .,we can keep all - both of them for the whole whole year .,s^na,s^na
Bmr025-c9_1537170_1538820,just - just in case we ==,just - just in case we ==,s^df.%-,s^df.%-
Bmr025-ca_1537970_1538590,i mean it's just ==,i mean it's just ==,s.%-,s.%-
Bmr025-c9_1539220_1543010,even maybe some of the transcribers who might be wanting to annotate .,even maybe some of the transcribers who might be wanting to annotate .,s,s
Bmr025-c9_1543760_1546730,uh f- - just there's a bunch of things that might be neat to do .,uh f- - just there's a bunch of things that might be neat to do .,s,s
Bmr025-c9_1546780_1551680,but i - it might not be the case that we can actually synchronize them and then do all the infrastructure .,but i - it might not be the case that we can actually synchronize them and then do all the infrastructure .,s,s
Bmr025-c9_1551680_1553350,but we could at least try it out .,but we could at least try it out .,s^cs,s^cs
Bmr025-c1_1553580_1564830,well | one thing that we might try um is on some set of meetings - some collection of meetings - maybe e d u is the right one or maybe something else .,well | one thing that we might try um is on some set of meetings - some collection of meetings - maybe e_d_u is the right one or maybe something else .,fg|s,fg|s
Bmr025-c1_1565580_1570410,we - we get somebody to buy into the idea of doing this as part of the task .,we - we get somebody to buy into the idea of doing this as part of the task .,s^cs,s^cs
Bmr025-c1_1570410_1570860,i mean ==,i mean ==,%-,%-
Bmr025-c9_1570710_1570930,right .,right .,s^aa,s^aa
Bmr025-c1_1571380_1579310,uh part of the reason - i think part of the reason that adam was so interested in uh the speechcorder sort of f- - idea from the beginning is he said from the beginning he hated taking notes .,uh part of the reason - i think part of the reason that adam was so interested in uh the speechcorder sort of f- - idea from the beginning is he said from the beginning he hated taking notes .,s,s
Bmr025-ca_1579060_1579300,yep .,yep .,s^aa,s^aa
Bmr025-c1_1579310_1579450,and ==,and ==,fh,fh
Bmr025-c1_1580030_1580630,and so forth .,and so forth .,s^e,s^e
Bmr025-c1_1580630_1582990,so | and - and jane is more into it .,so | and - and jane is more into it .,fh|s,fh|s
Bmr025-c1_1582990_1584350,but uh uh ==,but eh uh ==,fh,fh
Bmr025-c1_1584630_1586660,you know i don't know if you want to really do - do this all the time .,you know i don't know if you wanna really do - do this all the time .,s^no,s^no
Bmr025-c1_1586660_1589680,so i think the thing is to - to get someone to actually buy into it .,so i think the thing is to - to get someone to actually buy into it .,s^cs,s^cs
Bmr025-c1_1589680_1592250,and have at least some series of meetings where we do it .,and have at least some series of meetings where we do it .,s^cs^e,s^cs^e
Bmr025-c1_1593230_1593810,um ==,um ==,fh,fh
Bmr025-c1_1594480_1596400,and if so it's probably worth having one .,and if so it's probably worth having one .,s,s
Bmr025-c1_1596710_1599360,the p- - the - the problem with the - the more extended view ==,the p- - the - the problem with the - the more extended view ==,s.%--,s.%--
Bmr025-c1_1599360_1603470,all these other you know with uh quibbling about particular applications of it ==,all these other you know with uh quibbling about particular applications of it ==,s^e.%--,s^e.%--
Bmr025-c1_1603470_1608730,is that it looks like it's hard to get people to um - uh - routinely use it .,is that it looks like it's hard to get people to um - uh - routinely use it .,s^e,s^e
Bmr025-c1_1608730_1610550,i mean it just hasn't happened anyway .,i mean it just hasn't happened anyway .,s,s
Bmr025-c1_1611030_1613230,but maybe if we can get a person to ==,but maybe if we can get a person to ==,s^cs.%-,s^cs.%-
Bmr025-c9_1612460_1616210,yeah i don't think it has to be part of a- - what everybody does in a meeting .,yeah i don't think it has to be part of a- - what everybody does in a meeting .,s,s
Bmr025-c9_1616210_1620380,but it might be a useful neat part of the project .,but it might be a useful neat part of the project .,s^ba,s^ba
Bmr025-c9_1620380_1625380,that we can you know show off as a mechanism for synchronizing events in time .,that we can you know show off as a mechanism for synchronizing events in time .,s^df,s^df
Bmr025-c9_1625930_1627820,that happen that you just want to make a note of .,that happen that you just wanna make a note of .,s^df^e,s^df^e
Bmr025-c9_1627820_1629400,like what jane was talking about .,like what jane was talking about .,s,s
Bmr025-c9_1629770_1632390,with some later browsing just - just as a convenience .,with some later browsing just - just as a convenience .,s^e,s^e
Bmr025-c9_1632800_1636300,even if it's not a full blown note taking substitute .,even if it's not a full-blown note taking substitute .,s,s
Bmr025-c4_1636250_1640920,well if you wanted to do that maybe the right architecture for it is to get a p d a with a wireless card .,well if you wanted to do that maybe the right architecture for it is to get a p_d_a with a wireless card .,s^cs,s^cs
Bmr025-c4_1641320_1645990,and - and that way you can synchronize very easily with the - the - the meeting .,and - and that way you can synchronize very easily with the - the - the meeting .,s,s
Bmr025-c4_1645990_1649280,because you'll be synchroni- - you can synchronize with the - the linux server .,because you'll be synchroni- - you can synchronize with the - the linux server .,s^df,s^df
Bmr025-c4_1650770_1651990,and uh ==,and uh ==,fh,fh
Bmr025-c9_1651550_1653030,so what kind of input would you be ?==,so what kind of input would you be ?==,qw.%--,qw.%--
Bmr025-c4_1653260_1655010,so - so i mean if you're not worried about ==,so - so i mean if you're not worried about ==,s.%-,s.%-
Bmr025-ca_1653930_1654380,buttons .,buttons .,s^cs,s^cs
Bmr025-c9_1654800_1656540,you'd just be pressing like a - a ?==,you'd just be pressing like a - a ?==,qy^d.%-,qy^d.%-
Bmr025-c4_1656200_1657280,well - well you have a p d a .,well - well you have a p_d_a .,s^cs,s^cs
Bmr025-c4_1657280_1660400,and may- - and you could have the same sort of x interface or whatever .,and may- - and you could have the same sort of x_ interface or whatever .,s^cs^e,s^cs^e
Bmr025-c4_1660400_1663130,i mean you'd have to do a little uh - a little bit of coding to do it .,i mean you'd have to do a little eh - a little bit of coding to do it .,s,s
Bmr025-c9_1660840_1661070,uhhuh .,mm-hmm .,b,b
Bmr025-c4_1663970_1665350,but you could imagine ==,but you could imagine ==,s.%--,s.%--
Bmr025-c9_1664400_1664680,yeah .,yeah .,s^aa,s^aa
Bmr025-c9_1665010_1665420,that be good .,that be good .,s^ba,s^ba
Bmr025-c4_1665640_1670230,i mean if - if all you really wanted was - you didn't want this secondary note taking channel .,i mean if - if all you really wanted was - you didn't want this secondary note-taking channel .,s,s
Bmr025-c4_1670230_1673680,but just sort of being able to use m- - markers of some sort .,but just sort of being able to use m- - markers of some sort .,s,s
Bmr025-c4_1674170_1676850,a p d a with a l- - a wireless card would be the - probably the right way to go .,a p_d_a with a l- - a wireless card would be the - probably the right way to go .,s^cs,s^cs
